题目,正确答案,选项A,选项B,选项C,选项D
电力变压器在额定电压下的冲击合闸试验要求是：在设备交接验收时应试验(　　)次。,C,三  ,四,五  ,六
供热管网系统必须保持恒压点压力稳定，恒压点的压力波动范围应控制在±0.02MPa以内。供热系统的任何一点都不应发生汽化、倒空和超压现象。管网恒压运行均应采用自动控制。,A,对,错,,
省政府提出的“十个狠抓落实”，指提高站位狠抓落实、解放思想狠抓落实、系统思维狠抓落实、把握关键狠抓落实、创新机制狠抓落实、提升能力狠抓落实、压实责任狠抓落实、依靠群众狠抓落实、改进作风狠抓落实、严格奖惩狠抓落实。,A,对,错,,
钢材出厂合格证属于工程质量保证资料。,A,对,错,,
1～10KV配电线路与公路交叉时最小垂直距离在最大驰度时应小于(　 　)。,B,6米          ,7米         ,8米       ,9米
变压器的初、次级电流I1、I2和初、次级U1、U2之间的关系为( 　)。,B,I1/I2＝U1/U2         ,I1/I2＝U2/U1     ,I1/I2＝U22/U12        ,无明显规律
在组织分析中，要对（   ）进行分析，依据企业的条件，确定企业今后的培训重心和方向。,C,员工当前的实际工作绩效,企业的整体绩效,企业将来的发展战略,员工从事的工作活动
机器语言是采用十六进制数码组成的。,B,对,错,,
下列关于请示这一文种表述错误的是（  ）,B,请示适用于向上级机关请求指示、批准,几项事宜可以合并在一份请示中请求批准,请示从行文格式上属于上行文,在请示附注处注明联系人姓名、电话
发展对象未来三个月内将离开工作、学习单位的，一般不办理接收预备党员的手续。,A,对,错,,
